"id","code","description","parent_id:id","country_id:id","state_id:id","city_id:id","internal_type"
"fiscal_operation_service_94","04.03.08","serviços prestados por manicômio","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_95","04.03.09","Serviços de saúde ou de assistência médica prestados por manicômio apto a efetuar internações","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_96","04.03.10","serviços prestados por casa de saúde","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_97","04.03.11","Serviços de saúde ou de assistência médica prestados por casa de saúde apta a efetuar internações","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_98","04.03.12","serviços prestados por pronto-socorro","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_99","04.03.13","Serviços de saúde ou de assistência médica prestados por pronto-socorro apto a efetuar internações","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_100","04.03.14","serviços prestados por ambulatórios","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_101","04.03.15","serviços prestados por posto de vacinação","fiscal_operation_service_86","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_102","04.04   ","Instrumentação cirúrgica.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_103","04.04.01","instrumentação cirúrgica","fiscal_operation_service_102","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_104","04.05   ","Acupuntura.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_105","04.05.01","acupuntura","fiscal_operation_service_104","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_106","04.06   ","Enfermagem, inclusive serviços auxiliares.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_107","04.06.01","enfermagem ","fiscal_operation_service_106","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_108","04.06.02","enfermagem - serviços auxiliares","fiscal_operation_service_106","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_109","04.07   ","Serviços farmacêuticos.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_110","04.07.01","serviços farmacêuticos","fiscal_operation_service_109","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_111","04.08   ","Terapia ocupacional, fisioterapia e fonoaudiologia.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_112","04.08.01","terapia ocupacional","fiscal_operation_service_111","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_113","04.08.02","fisioterapia","fiscal_operation_service_111","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_114","04.08.03","fonoaudiologia","fiscal_operation_service_111","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_115","04.09   ","Terapias de qualquer espécie destinadas ao tratamento físico, orgânico e mental.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_116","04.09.01","terapias de qualquer espécie destinadas ao tratamento físico, orgânico ou mental","fiscal_operation_service_115","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_117","04.10   ","Nutrição.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_118","04.10.01","nutrição","fiscal_operation_service_117","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_119","04.11   ","Obstetrícia.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_120","04.11.01","obstetrícia","fiscal_operation_service_119","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_121","04.12   ","Odontologia.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_122","04.12.01","odontologia","fiscal_operation_service_121","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_123","04.13   ","Ortóptica.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_124","04.13.01","ortóptica","fiscal_operation_service_123","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_125","04.14   ","Próteses sob encomenda.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_126","04.14.01","confecção de próteses","fiscal_operation_service_125","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_127","04.15   ","Psicanálise.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_128","04.15.01","psicanálise","fiscal_operation_service_127","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_129","04.16   ","Psicologia.","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
"fiscal_operation_service_130","04.16.01","psicologia","fiscal_operation_service_129","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","normal"
"fiscal_operation_service_131","04.17   ","Casas de repouso e de recuperação, creches, asilos e congêneres","fiscal_operation_service_73","base.br","l10n_br_data_base.br_rj","l10n_br_data_base.city_3241","view"
