"id","code","name","admitted_taxes","date_start","date_end"
"nature_income_17005","17005","Serviços hospitalares de que trata o art. 30 da Instrução Normativa RFB nº 1.234, de 11 de janeiro de 2012","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_17006","17006","Transporte de cargas , exceto os relacionados na natureza de rendimento ""17017""","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_17007","17007","Serviços de auxílio diagnóstico e terapia, patologia clínica, imagenologia, anatomia patológica e citopatológica, medicina nuclear e análises e patologias clínicas, exames por métodos gráficos, procedimentos endoscópicos, radioterapia, quimioterapia, diálise e oxigenoterapia hiperbárica de que trata o art. 31 e parágrafo único da Instrução Normativa RFB nº 1.234, de 2012","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_17008","17008","Produtos farmacêuticos, de perfumaria, de toucador ou de higiene pessoal adquiridos de produtor, importador, distribuidor ou varejista, exceto os relacionados nas naturezas de rendimentos de “17019"" a ""17022""","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_17009","17009","Mercadorias e bens em geral","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_17010","17010","Gasolina, inclusive de aviação, óleo diesel, gás liquefeito de petróleo (GLP), combustíveis derivados de petróleo ou de gás natural, querosene de aviação (QAV), e demais produtos derivados de petróleo, adquiridos de refinarias de petróleo, de demais produtores, de importadores, de distribuidor ou varejista","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_17011","17011","Álcool etílico hidratado, inclusive para fins carburantes, adquirido diretamente de produtor, importador ou do distribuidor","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_17012","17012","Biodiesel adquirido de produtor ou importador","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_17013","17013","Gasolina, exceto gasolina de aviação, óleo diesel e gás liquefeito de petróleo (GLP), derivados de petróleo ou de gás natural e querosene de aviação adquiridos de distribuidores e comerciantes varejistas","IR, CSLL, AGREGADO","2023-09-01",""
"nature_income_17014","17014","Álcool etílico hidratado nacional, inclusive para fins carburantes adquirido de comerciante varejista","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_17015","17015","Biodiesel adquirido de distribuidores e comerciantes varejistas","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
"nature_income_17016","17016","Biodiesel adquirido de produtor detentor regular do selo “Combustível Social”, fabricado a partir de mamona ou fruto, caroço ou amêndoa de palma produzidos nas regiões norte e nordeste e no semiárido, por agricultor familiar enquadrado no Programa Nacional de Fortalecimento da Agricultura Familiar (Pronaf)","IR, CSLL, COFINS, PP, AGREGADO","2023-09-01",""
