"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id"
cep_57045514,"l10n_br_base.br_al","57045514","D","Quadra","Barro Duro","l10n_br_base.city_1695"
cep_57045513,"l10n_br_base.br_al","57045513","C","Quadra","Barro Duro","l10n_br_base.city_1695"
cep_57045512,"l10n_br_base.br_al","57045512","B","Quadra","Barro Duro","l10n_br_base.city_1695"
cep_57010385,"l10n_br_base.br_al","57010385","Roberto Pontes Lima","Avenida","Trapiche da Barra","l10n_br_base.city_1695"
cep_57045511,"l10n_br_base.br_al","57045511","A","Quadra","Barro Duro","l10n_br_base.city_1695"
cep_57045360,"l10n_br_base.br_al","57045360","Dom Adelmo Machado","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57045345,"l10n_br_base.br_al","57045345","da Paz","Alameda","Barro Duro","l10n_br_base.city_1695"
cep_57045266,"l10n_br_base.br_al","57045266","Bom Destino","2ª Travessa","Barro Duro","l10n_br_base.city_1695"
cep_57045265,"l10n_br_base.br_al","57045265","Bom Destino","1ª Travessa","Barro Duro","l10n_br_base.city_1695"
cep_57045260,"l10n_br_base.br_al","57045260","Silvio Sandes Torres Júnior","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57045250,"l10n_br_base.br_al","57045250","Belém","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57045245,"l10n_br_base.br_al","57045245","Boa Esperança","1ª Travessa","Barro Duro","l10n_br_base.city_1695"
cep_57045243,"l10n_br_base.br_al","57045243","Boa Esperança","3ª Travessa","Barro Duro","l10n_br_base.city_1695"
cep_57036150,"l10n_br_base.br_al","57036150","Doutor Procópio Júnior","Rua","Jatiúca","l10n_br_base.city_1695"
cep_57045239,"l10n_br_base.br_al","57045239","Santa Lúcia","Travessa","Barro Duro","l10n_br_base.city_1695"
cep_57010430,"l10n_br_base.br_al","57010430","Doutor Milton Ramires","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57045380,"l10n_br_base.br_al","57045380","Doutor Everaldo Oliveira Castro","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57045370,"l10n_br_base.br_al","57045370","Doutor Anderson Almeida Vasconcelos","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57045367,"l10n_br_base.br_al","57045367","Juca Sampaio","Travessa","Barro Duro","l10n_br_base.city_1695"
cep_57045366,"l10n_br_base.br_al","57045366","São Aluízio","Travessa","Barro Duro","l10n_br_base.city_1695"
cep_57045365,"l10n_br_base.br_al","57045365","Juca Sampaio","Avenida","Barro Duro","l10n_br_base.city_1695"
cep_57045420,"l10n_br_base.br_al","57045420","Empresário Sebastião Ferreira Santos","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57010383,"l10n_br_base.br_al","57010383","Professor Luiz Lavenere Machado","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010381,"l10n_br_base.br_al","57010381","Coronel Serafim Dutra Cavalcante","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010440,"l10n_br_base.br_al","57010440","Riachuelo","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010382,"l10n_br_base.br_al","57010382","Doutor Jorge de Lima","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010420,"l10n_br_base.br_al","57010420","José Alves Barbosa","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010410,"l10n_br_base.br_al","57010410","Jornalista Oséas Rosas","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010400,"l10n_br_base.br_al","57010400","Guilherme Rogato","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57010390,"l10n_br_base.br_al","57010390","Ubirajara","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57045490,"l10n_br_base.br_al","57045490","Doutor Aderson Almeida Vasconcelos","Rua","Barro Duro","l10n_br_base.city_1695"
cep_57010384,"l10n_br_base.br_al","57010384","Professor Teonilo Gama","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57015290,"l10n_br_base.br_al","57015290","Expedicionário Brasileiro","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57010450,"l10n_br_base.br_al","57010450","Francisco Vieira","Rua","Trapiche da Barra","l10n_br_base.city_1695"
cep_57017070,"l10n_br_base.br_al","57017070","Doutor Pedro Marcelo de Oliveira","Rua","Levada","l10n_br_base.city_1695"
cep_57014680,"l10n_br_base.br_al","57014680","Santo Antônio","Rua","Ponta Grossa","l10n_br_base.city_1695"
cep_57017030,"l10n_br_base.br_al","57017030","Nossa Senhora das Graças","Praça","Levada","l10n_br_base.city_1695"
cep_57015235,"l10n_br_base.br_al","57015235","Bom Retiro","Travessa","Vergel do Lago","l10n_br_base.city_1695"
cep_57017110,"l10n_br_base.br_al","57017110","Coronel Meira","Rua","Levada","l10n_br_base.city_1695"
cep_57017100,"l10n_br_base.br_al","57017100","João Gato","Vila","Levada","l10n_br_base.city_1695"
cep_57017090,"l10n_br_base.br_al","57017090","Coronel Cahet","Rua","Levada","l10n_br_base.city_1695"
cep_57015270,"l10n_br_base.br_al","57015270","Oscarlina Maria da Silva","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57017075,"l10n_br_base.br_al","57017075","Francisco de Menezes","Avenida","Levada","l10n_br_base.city_1695"
cep_57014595,"l10n_br_base.br_al","57014595","Doutor Djalma Costa","Travessa","Ponta Grossa","l10n_br_base.city_1695"
cep_57017060,"l10n_br_base.br_al","57017060","Comendador Tércio Wanderley","Avenida","Levada","l10n_br_base.city_1695"
cep_57017130,"l10n_br_base.br_al","57017130","Presidente Prudente de Moraes","Rua","Levada","l10n_br_base.city_1695"
cep_57017040,"l10n_br_base.br_al","57017040","Celeste Bezerra","Avenida","Levada","l10n_br_base.city_1695"
cep_57017140,"l10n_br_base.br_al","57017140","Cícero Torres","Rua","Levada","l10n_br_base.city_1695"
cep_57017020,"l10n_br_base.br_al","57017020","Dezesseis de Setembro","Rua","Levada","l10n_br_base.city_1695"
cep_57017015,"l10n_br_base.br_al","57017015","João Calheiros Gato","Rua","Levada","l10n_br_base.city_1695"
cep_57017010,"l10n_br_base.br_al","57017010","José Bernardo de Lima","Rua","Levada","l10n_br_base.city_1695"
cep_57017080,"l10n_br_base.br_al","57017080","Conselheiro João Alfredo","Rua","Levada","l10n_br_base.city_1695"
cep_57014550,"l10n_br_base.br_al","57014550","Santa Fé","Rua","Ponta Grossa","l10n_br_base.city_1695"
cep_57014750,"l10n_br_base.br_al","57014750","Demócrito Gracindo","Rua","Ponta Grossa","l10n_br_base.city_1695"
cep_57800000,"l10n_br_base.br_al","57800000","","","","l10n_br_base.city_1749"
cep_57031530,"l10n_br_base.br_al","57031530","Comendador Gustavo Paiva","Avenida","Mangabeiras","l10n_br_base.city_1695"
cep_57014740,"l10n_br_base.br_al","57014740","Cabo Reis","Rua","Ponta Grossa","l10n_br_base.city_1695"
cep_57014730,"l10n_br_base.br_al","57014730","Doutor Benon Maia Gomes","Rua","Ponta Grossa","l10n_br_base.city_1695"
cep_57014720,"l10n_br_base.br_al","57014720","Santo Antônio","Praça","Ponta Grossa","l10n_br_base.city_1695"
cep_57014710,"l10n_br_base.br_al","57014710","Ciro Acyole","Praça","Ponta Grossa","l10n_br_base.city_1695"
cep_57014570,"l10n_br_base.br_al","57014570","Tenente Francisco de Oliveira da Silva","Rua","Ponta Grossa","l10n_br_base.city_1695"
cep_57014690,"l10n_br_base.br_al","57014690","Santa Maria","Vila","Ponta Grossa","l10n_br_base.city_1695"
cep_57041760,"l10n_br_base.br_al","57041760","São Marcos","Rua","Jacintinho","l10n_br_base.city_1695"
cep_57014660,"l10n_br_base.br_al","57014660","Bom Destino","Rua","Ponta Grossa","l10n_br_base.city_1695"
cep_57015245,"l10n_br_base.br_al","57015245","Bonsucesso","Travessa","Vergel do Lago","l10n_br_base.city_1695"
cep_57014620,"l10n_br_base.br_al","57014620","Nova Esperança","Rua","Ponta Grossa","l10n_br_base.city_1695"
cep_57014615,"l10n_br_base.br_al","57014615","José Cavalcante","Travessa","Ponta Grossa","l10n_br_base.city_1695"
cep_57014610,"l10n_br_base.br_al","57014610","José Cavalcante","Rua","Ponta Grossa","l10n_br_base.city_1695"
cep_57040110,"l10n_br_base.br_al","57040110","Higino Vital da Silva","Rua","Jacintinho","l10n_br_base.city_1695"
cep_57015880,"l10n_br_base.br_al","57015880","Ministro Mário Andreazza","Avenida","Vergel do Lago","l10n_br_base.city_1695"
cep_57014700,"l10n_br_base.br_al","57014700","Aurélio Lages","Rua","Ponta Grossa","l10n_br_base.city_1695"
cep_57015350,"l10n_br_base.br_al","57015350","Panair","Travessa","Vergel do Lago","l10n_br_base.city_1695"
cep_57017000,"l10n_br_base.br_al","57017000","Formosa","Rua","Levada","l10n_br_base.city_1695"
cep_57017150,"l10n_br_base.br_al","57017150","Rio Branco","Parque","Levada","l10n_br_base.city_1695"
cep_57017205,"l10n_br_base.br_al","57017205","Élio de Lemos França","Praça","Bom Parto","l10n_br_base.city_1695"
cep_57015310,"l10n_br_base.br_al","57015310","Joanísio Omena","Conjunto","Vergel do Lago","l10n_br_base.city_1695"
cep_57015860,"l10n_br_base.br_al","57015860","João Batista dos Santos","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57015380,"l10n_br_base.br_al","57015380","São Francisco","Rua","Vergel do Lago","l10n_br_base.city_1695"
cep_57015375,"l10n_br_base.br_al","57015375","São Bento","Travessa","Vergel do Lago","l10n_br_base.city_1695"
