"id","state_id:id","code","street","street_type","district","l10n_br_city_id:id","country_id:id"
"cep_95047100","l10n_br_base.br_rs","95047100","dos Barbeiros","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95045550","l10n_br_base.br_rs","95045550","Antônio Danielli","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95047120","l10n_br_base.br_rs","95047120","dos Bem-Te-Vis","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95047041","l10n_br_base.br_rs","95047041","João Rodrigues da Silva","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95047130","l10n_br_base.br_rs","95047130","das Bordadeiras","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95047140","l10n_br_base.br_rs","95047140","dos Caminhoneiros","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95047145","l10n_br_base.br_rs","95047145","dos Carteiros","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95047053","l10n_br_base.br_rs","95047053","dos Armadores","Rua","Santa Fé","l10n_br_base.city_4698","base.br"
"cep_95020190","l10n_br_base.br_rs","95020190","Doutor Montaury","Rua","Madureira","l10n_br_base.city_4698","base.br"
"cep_95020430","l10n_br_base.br_rs","95020430","Venâncio Aires","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95020440","l10n_br_base.br_rs","95020440","José Domingos de Almeida","Rua","Lurdes","l10n_br_base.city_4698","base.br"
"cep_95020450","l10n_br_base.br_rs","95020450","Vinte de Setembro","Rua","Lurdes","l10n_br_base.city_4698","base.br"
"cep_95020460","l10n_br_base.br_rs","95020460","Alfredo Chaves","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95020470","l10n_br_base.br_rs","95020470","Os Dezoito do Forte","Rua","São Pelegrino","l10n_br_base.city_4698","base.br"
"cep_95020471","l10n_br_base.br_rs","95020471","Os Dezoito do Forte","Rua","São Pelegrino","l10n_br_base.city_4698","base.br"
"cep_95020400","l10n_br_base.br_rs","95020400","Luiz Cecconello","Rua","Jardelino Ramos","l10n_br_base.city_4698","base.br"
"cep_95020260","l10n_br_base.br_rs","95020260","Marquês do Herval","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95020181","l10n_br_base.br_rs","95020181","Visconde de Pelotas","Rua","Centro","l10n_br_base.city_4698","base.br"
"cep_95020290","l10n_br_base.br_rs","95020290","Vitório Buzelatto","Rua","Madureira","l10n_br_base.city_4698","base.br"
"cep_95020183","l10n_br_base.br_rs","95020183","Visconde de Pelotas","Rua","Centro","l10n_br_base.city_4698","base.br"
